********************************************************
Running Single Phase Permeability Calculation 
********************************************************
MPI rank=0 will use GPU ID 0 / 4 
================================================================
  ScaLBL_MRTModel: single-phase MRT permeability solver
================================================================
  tau           = 1.000000  (mu_LB = 1.666667e-01)
  F             = (0.0000e+00, 0.0000e+00, 1.0000e-05)
  BC            = 0
  timestepMax   = 200000
  voxel size    = 4.0000 microns
================================================================
Cartesian scratch arrays allocated.
Read input media... 
Initialize from segmented data: solid=0, NWP=1, WP=2 
Media porosity = 0.223832 
Geometry loaded.
Create ScaLBL_Communicator
Allocating distributions (Np = 30751808, porosity = 0.2238)
Initializing fq distribution
No. of timesteps: 200000, Boundary Condition: 0
********************************************************
Timestep: 17500, MLUPS: 746.8, K = 3.018960 D (RMS), 3.017453 D (Z), wall = 718.64s, dK/K = 6.1999e-05, gradP = 1.0000e-05
Timestep: 18000, MLUPS: 751.1, K = 3.018792 D (RMS), 3.017284 D (Z), wall = 739.11s, dK/K = 5.5854e-05, gradP = 1.0000e-05
Timestep: 18500, MLUPS: 747.9, K = 3.018640 D (RMS), 3.017132 D (Z), wall = 759.67s, dK/K = 5.0339e-05, gradP = 1.0000e-05
Timestep: 19000, MLUPS: 751.8, K = 3.018503 D (RMS), 3.016995 D (Z), wall = 780.13s, dK/K = 4.5387e-05, gradP = 1.0000e-05
Timestep: 19500, MLUPS: 751.9, K = 3.018379 D (RMS), 3.016872 D (Z), wall = 800.58s, dK/K = 4.0937e-05, gradP = 1.0000e-05
Timestep: 20000, MLUPS: 744.7, K = 3.018268 D (RMS), 3.016760 D (Z), wall = 821.22s, dK/K = 3.6935e-05, gradP = 1.0000e-05
Timestep: 20500, MLUPS: 749.7, K = 3.018167 D (RMS), 3.016660 D (Z), wall = 841.73s, dK/K = 3.3334e-05, gradP = 1.0000e-05
Timestep: 21000, MLUPS: 746.3, K = 3.018076 D (RMS), 3.016569 D (Z), wall = 862.33s, dK/K = 3.0093e-05, gradP = 1.0000e-05
Timestep: 21500, MLUPS: 746.3, K = 3.017994 D (RMS), 3.016487 D (Z), wall = 882.94s, dK/K = 2.7174e-05, gradP = 1.0000e-05
Timestep: 22000, MLUPS: 750.7, K = 3.017920 D (RMS), 3.016413 D (Z), wall = 903.42s, dK/K = 2.4544e-05, gradP = 1.0000e-05
Timestep: 22500, MLUPS: 749.8, K = 3.017853 D (RMS), 3.016346 D (Z), wall = 923.93s, dK/K = 2.2173e-05, gradP = 1.0000e-05
Timestep: 23000, MLUPS: 748.8, K = 3.017793 D (RMS), 3.016285 D (Z), wall = 944.46s, dK/K = 2.0036e-05, gradP = 1.0000e-05
Timestep: 23500, MLUPS: 746.7, K = 3.017738 D (RMS), 3.016231 D (Z), wall = 965.05s, dK/K = 1.8107e-05, gradP = 1.0000e-05
Timestep: 24000, MLUPS: 743.7, K = 3.017689 D (RMS), 3.016181 D (Z), wall = 985.73s, dK/K = 1.6368e-05, gradP = 1.0000e-05
Timestep: 24500, MLUPS: 750.8, K = 3.017644 D (RMS), 3.016137 D (Z), wall = 1006.21s, dK/K = 1.4797e-05, gradP = 1.0000e-05
Timestep: 25000, MLUPS: 742.3, K = 3.017604 D (RMS), 3.016096 D (Z), wall = 1026.92s, dK/K = 1.3380e-05, gradP = 1.0000e-05
Timestep: 25500, MLUPS: 741.6, K = 3.017567 D (RMS), 3.016060 D (Z), wall = 1047.66s, dK/K = 1.2100e-05, gradP = 1.0000e-05
Timestep: 26000, MLUPS: 741.8, K = 3.017534 D (RMS), 3.016027 D (Z), wall = 1068.38s, dK/K = 1.0943e-05, gradP = 1.0000e-05
Timestep: 26500, MLUPS: 740.9, K = 3.017504 D (RMS), 3.015997 D (Z), wall = 1089.14s, dK/K = 9.8990e-06, gradP = 1.0000e-05
Convergence reached (|dK/K| = 9.8990e-06 < 1.0000e-05)
